JCAT,Name,TDate,Program,Category,Result
S01328,[Explorer 27],1973 Jul 20,Explorer BE,SCI,U
S01329,,1966?,EHH B,SIG,U
S01330,,1965 May  8,CORONA J,IMG,U
S01359,,1965 May  6,Transtage PL,TECH,U
S01360,,1966 Sep,LES,COM,U
S01361,,1965 May  6,LCS,CAL,U
S01362,Cosmos 66,1965 May 15 0645?,Zenit-2 A,IMG,U
S01366,Luna 5,1965 May 12,E-6,PLAN,U
S01367,,1965 May  8,SRV,IMG,U
S01374,,1965 May 28,CORONA J,IMG,U
S01377,,1967 Feb 16,DAPP3,MET,S
S01381,[Pegasus 2],1968 Aug 29,Pegasus,SCI,U
S01382,Cosmos 67,1965 Jun  2 1100?,Zenit-4,IMG,U
S01385,[Apollo BP],1965 May 25,Apollo BPS,SS,U
S01386,,1965 May 30?,AFP-206,IMG,U
S01388,[Explorer 28],1967 May 11,IMP,SCI,U
S01390,[Gemini GT-4],1965 Jun  7 1712,Gemini,SS,U
S01393,Luna 6,1965 Jun 11?,E-6,PLAN,U
S01396,,1965 Jun 16,CORONA J,IMG,U
S01404,Cosmos 68,1965 Jun 23 0752?,Zenit-2 A,IMG,U
S01412,,1965 Jun 18,Transtage PL,TECH,U
S01413,Transtage 7,1965 Jun 18,Transtage,TECH,U
S01420,,1966 Jan 28,NNS A,NAV,U
S01421,Cosmos 69,1965 Jul  3 0751?,Zenit-4,IMG,U
S01422,,1967 Mar,EHH B,SIG,U
S01424,,1965 Jun 29?,AFP-206,IMG,U
S01425,,1965 Jun 24,NRL C,TECH,U
S01430,[Tiros 10],,TOS,MET,U
S01431,Cosmos 70,1965 Jul 12,DS-A1,EW,U
S01441,Cosmos 71,1965 Jul 16,Strela-1,COM,U
S01442,Cosmos 72,1965 Jul 16,Strela-1,COM,U
S01443,Cosmos 73,1965 Jul 16,Strela-1,COM,U
S01444,Cosmos 74,1965 Jul 16,Strela-1,COM,U
S01445,Cosmos 75,1965 Jul 16,Strela-1,COM,U
S01447,,1965 Sep  6,SAMOS F-2,SIG,U
S01454,Zond 3,1966 Dec,3MV,PLAN,U
S01457,,1965 Jul 29,CORONA J,IMG,U
S01458,[Vela 5],1970 May 21,Vela,EW,U
S01459,[Vela 6],1970 Oct,Vela,EW,U
S01460,[ORS 3],1965 Nov  3,ORS III,AST,U
S01464,Cosmos 76,1965 Oct 28,DS-P1-Yu A,CAL,U
S01466,Proton 1,1965 Oct 11,N-4,SCI,U
S01467,[Pegasus 3],1968 Aug 29,Pegasus,SCI,U
S01468,[Apollo BP],1965 Jul 30,Apollo BPS,SS,U
S01469,Cosmos 77,1965 Aug 11 0922?,Zenit-4,IMG,U
S01471,,1965 Aug  6?,AFP-206,IMG,U
S01472,,1967 Mar  9,EHH B,SIG,U
S01502,[SEV],1965 Aug 10,NASA Small,TECH,U
S01503,[Surveyor],1965 Aug 12,Surveyor A-21,TECH,U
S01505,Cosmos 78,1965 Aug 22 0844?,Zenit-2 A,IMG,U
S01506,[Secor],1966 Mar,Secor I,GEOD,U
S01510,[Dodec 2],1965 Aug 13,NRL Cal,CAL,U
S01512,[Tempsat 1],1965 Nov?,NRL Cal,CAL,U
S01513,,1965 Aug 26,CORONA J,IMG,U
S01514,[NSS O5],1965?,NNS N,NAV,U
